web-scraper-order,web-scraper-start-url,banner-image-src,product_name,price,ratings,ship_from,banners,has_video,product_image-src,is_ad,sold,shipping_speed
"1730178464-11","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9higk3xrdd5","ผงมัทฉะแท้ เข้มข้น 100 กรัม ผงชาเขียว มัทฉะ ชาเขียว ชาเขียวมัทฉะ มัทฉะญี่ปุ่น ชาไข่มุก ผงเครื่องดื่ม","189","4.9","จังหวัดกรุงเทพมหานคร","โค้ดลด ฿9","badge-video","https://down-th.img.susercontent.com/file/sg-11134201-7qvg5-lhk0rzckm71z72_tn.webp","","ขายแล้ว 878 ชิ้น","2-3 วัน"
"1730178464-12","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Starbucks matcha powder ถุง 500 กรัม ผงมัทฉะ ชาเขียว สตาร์บัคส์ ของแท้","920","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r98s-ltk56o2f8uin27_tn.webp","","ขายแล้ว 57 ชิ้น",""
"1730178464-13","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Dr.Bright Organic Matcha Plus Vitamin ผงมัทฉะออร์แกนิค 100% ผสมวิตามินรวม A C E และ B รวม","490","4.8","จังหวัดปทุมธานี","ซื้อ 4 ชิ้น เพียง ฿1,390","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98w-lyb333dg7z5590_tn.webp","","ขายแล้ว 31 ชิ้น","2-3 วัน"
"1730178464-14","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","Ranong Tea เรนองที 🌱 ชาเขียวมัทฉะลาเต้ผสมนมอัลมอนด์ปรุงสำเร็จ ชนิดผง กลิ่นถั่วแดง Matcha Latte","176","5.0","จังหวัดชลบุรี","","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98y-m0anaq3djcuw5a_tn.webp","","ขายแล้ว 4 ชิ้น","2-3 วัน"
"1730178464-15","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9higk3xrdd5","⭐ผงมัทฉะ ออร์แกนิค  Organic Matcha Powder เกรดพรีเมี่ยม ขนาด 250 กรัม","950","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r990-lmct0zgfcu87f3_tn.webp","","ขายแล้ว 17 ชิ้น","2-3 วัน"
"1730178464-16","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","โรงงาน OutletPure Unsweetened Matcha Powder Keto Low Carb คุณภาพสูง Matcha Powder 200g/500g/1000g ผงมัทฉะธรรมชาติโรงงานขายส ่ ง","1,188","","ต่างประเทศ","โค้ดลด ฿30","","https://down-th.img.susercontent.com/file/cn-11134207-7r98o-lpi127o0m1cw0d_tn.webp","","",""
"1730178464-17","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9h6gjo4vd88","ชาอู่หลง เกรดเอ ชาไต้หวันภูเขาสูง  กลิ่นเข้มข้น 乌龙茶 เบอร์17","119","4.9","จังหวัดกรุงเทพมหานคร","ช้อปปี้ถูกชัวร์โค้ดลด ฿1","badge-video","https://down-th.img.susercontent.com/file/02bc5001af5521d47346b8d482c12be5_tn.webp","","ขายแล้ว 14.7พัน ชิ้น","1-2 วัน"
"1730178464-18","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Wakamurasaki : Ceremonial grade","480","5.0","จังหวัดนนทบุรี","","","https://down-th.img.susercontent.com/file/th-11134207-7r98q-m048j4wkz0ew70_tn.webp","","ขายแล้ว 36 ชิ้น","1-3 วัน"
"1730178464-19","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Bi : Ceremonial grade matcha 100%","480","4.8","จังหวัดนนทบุรี","","","https://down-th.img.susercontent.com/file/th-11134207-7r98p-m0488jweiz7e05_tn.webp","","ขายแล้ว 55 ชิ้น","1-3 วัน"
"1730178464-20","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3r7g84yuh1b","ชาเขียวBONCAFE UJI MATCHA GREEN TEA BASE 100g","255","4.9","จังหวัดนนทบุรี","ส่งไวพิเศษ","","https://down-th.img.susercontent.com/file/sg-11134201-22110-whd6av61jdjvbe_tn.webp","","ขายแล้ว 1.7พัน ชิ้น","วันนี้"
